epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6474,0.89275,3.19271,1.25803,0.2681,0.43213,0.27413,0.20395,0.90445,2.57433,1.30324,0.000367113,0.000367113,0.000367113
2,34.2543,0.82492,2.24813,1.19704,0.39501,0.41015,0.3229,0.2163,1.09521,2.2783,1.50427,0.000730146,0.000730146,0.000730146
3,50.5451,0.83609,2.03171,1.19224,0.34827,0.47732,0.32885,0.21807,1.07982,2.78364,1.50537,0.00108585,0.00108585,0.00108585
4,66.6105,0.81228,1.76457,1.17329,0.6092,0.49762,0.53384,0.40692,0.8879,1.74956,1.28958,0.001078,0.001078,0.001078
5,82.6525,0.79184,1.56592,1.16578,0.58486,0.5396,0.55098,0.41438,0.92967,1.85022,1.30271,0.001067,0.001067,0.001067
6,98.5945,0.76665,1.45013,1.15203,0.68033,0.53393,0.6019,0.45511,0.88185,1.44846,1.23762,0.00105601,0.00105601,0.00105601
7,114.532,0.72477,1.31298,1.11682,0.6475,0.56369,0.60852,0.48442,0.80244,1.49476,1.20353,0.00104501,0.00104501,0.00104501
8,130.453,0.69706,1.26166,1.12438,0.68969,0.61607,0.66848,0.53662,0.74299,1.19062,1.16529,0.00103401,0.00103401,0.00103401
9,146.366,0.65977,1.14904,1.09419,0.76307,0.72436,0.77629,0.63259,0.69301,0.98907,1.1274,0.00102301,0.00102301,0.00102301
10,162.264,0.66715,1.14105,1.09683,0.76703,0.68561,0.76276,0.62005,0.71847,1.02605,1.13716,0.00101201,0.00101201,0.00101201
11,178.103,0.65246,1.07618,1.08425,0.78592,0.74286,0.7999,0.65244,0.68794,0.94042,1.09828,0.00100101,0.00100101,0.00100101
12,194.01,0.60921,0.99562,1.05771,0.72717,0.70034,0.74164,0.62903,0.66196,1.07876,1.11061,0.000990012,0.000990012,0.000990012
13,209.886,0.62008,0.99513,1.0629,0.83607,0.74495,0.8292,0.67738,0.65433,0.85199,1.08602,0.000979013,0.000979013,0.000979013
14,225.824,0.5835,0.94053,1.05257,0.82621,0.75774,0.82777,0.68307,0.66405,0.91914,1.09845,0.000968014,0.000968014,0.000968014
15,241.754,0.60023,0.93625,1.06206,0.75346,0.69597,0.78167,0.65398,0.66305,0.96585,1.09394,0.000957015,0.000957015,0.000957015
16,257.563,0.59759,0.89839,1.05632,0.83982,0.74695,0.82442,0.69233,0.6381,0.8294,1.0749,0.000946016,0.000946016,0.000946016
17,273.391,0.57442,0.88123,1.0365,0.8531,0.76622,0.84154,0.71281,0.60204,0.75513,1.07073,0.000935018,0.000935018,0.000935018
18,289.259,0.58222,0.82281,1.04031,0.87282,0.75991,0.85728,0.72787,0.62222,0.7126,1.06549,0.000924019,0.000924019,0.000924019
19,305.099,0.57334,0.81028,1.042,0.86708,0.76395,0.86211,0.73406,0.59786,0.70558,1.04478,0.00091302,0.00091302,0.00091302
20,320.95,0.54311,0.78447,1.02026,0.86194,0.74772,0.84745,0.71281,0.61725,0.74743,1.07452,0.000902021,0.000902021,0.000902021
21,336.773,0.56763,0.78888,1.03382,0.85982,0.76138,0.86125,0.73585,0.59136,0.69718,1.05139,0.000891022,0.000891022,0.000891022
22,352.6,0.55084,0.75785,1.02861,0.88391,0.77362,0.85826,0.73049,0.58663,0.77853,1.03186,0.000880023,0.000880023,0.000880023
23,368.403,0.55107,0.76341,1.02491,0.86726,0.81703,0.89525,0.76447,0.55549,0.63529,1.01177,0.000869024,0.000869024,0.000869024
24,384.226,0.52733,0.72506,1.01338,0.83055,0.83754,0.88125,0.74848,0.57135,0.65036,1.02905,0.000858025,0.000858025,0.000858025
25,400.018,0.51907,0.70985,1.01476,0.86295,0.79551,0.871,0.75185,0.56324,0.6446,1.03646,0.000847026,0.000847026,0.000847026
26,415.794,0.5296,0.71769,1.01514,0.86328,0.81886,0.8864,0.76536,0.54497,0.61686,1.02044,0.000836027,0.000836027,0.000836027
27,431.577,0.51661,0.6854,1.00673,0.85169,0.83835,0.88942,0.76735,0.55669,0.60402,1.02627,0.000825029,0.000825029,0.000825029
28,447.398,0.51757,0.66996,1.00202,0.9036,0.85157,0.91495,0.7866,0.53555,0.57785,1.00974,0.00081403,0.00081403,0.00081403
29,463.246,0.5272,0.67014,1.00979,0.92859,0.8243,0.9075,0.78403,0.53684,0.56106,1.0106,0.000803031,0.000803031,0.000803031
30,479.034,0.51302,0.64795,1.0052,0.8801,0.83531,0.89492,0.78205,0.52852,0.57382,1.00542,0.000792032,0.000792032,0.000792032
31,494.845,0.51795,0.67207,1.00774,0.86455,0.8496,0.90561,0.774,0.55957,0.65416,1.0327,0.000781033,0.000781033,0.000781033
32,510.661,0.48859,0.63394,0.99309,0.87096,0.82908,0.90114,0.78804,0.52168,0.54717,0.98246,0.000770034,0.000770034,0.000770034
33,526.501,0.5064,0.62245,0.99966,0.89558,0.84817,0.90318,0.78334,0.52452,0.56875,0.99907,0.000759035,0.000759035,0.000759035
34,542.35,0.48358,0.63705,0.99323,0.91906,0.84416,0.918,0.81004,0.50138,0.5112,0.97978,0.000748036,0.000748036,0.000748036
35,558.15,0.48357,0.60242,0.99518,0.92569,0.84981,0.92102,0.79949,0.52471,0.50574,1.00402,0.000737037,0.000737037,0.000737037
